"Zipcode","City","State","Lat","Long","Location"
"00705","AIBONITO","PR",18.14,-66.26,"NA-US-PR-AIBONITO"
"00610","ANASCO","PR",18.28,-67.14,"NA-US-PR-ANASCO"
"00611","ANGELES","PR",18.28,-66.79,"NA-US-PR-ANGELES"
"00612","ARECIBO","PR",18.45,-66.73,"NA-US-PR-ARECIBO"
"00601","ADJUNTAS","PR",18.16,-66.72,"NA-US-PR-ADJUNTAS"
"00631","CASTANER","PR",18.19,-66.82,"NA-US-PR-CASTANER"
"00602","AGUADA","PR",18.38,-67.18,"NA-US-PR-AGUADA"
"00603","AGUADILLA","PR",18.43,-67.15,"NA-US-PR-AGUADILLA"
"00604","AGUADILLA","PR",18.43,-67.15,"NA-US-PR-AGUADILLA"
"00605","AGUADILLA","PR",18.43,-67.15,"NA-US-PR-AGUADILLA"
"00703","AGUAS BUENAS","PR",18.25,-66.1,"NA-US-PR-AGUAS BUENAS"
"00704","AGUIRRE","PR",17.96,-66.22,"NA-US-PR-AGUIRRE"
"07675","WESTWOOD","NJ",40.98,-74.03,"NA-US-NJ-WESTWOOD"
"07677","WOODCLIFF LAKE","NJ",41.02,-74.05,"NA-US-NJ-WOODCLIFF LAKE"
"07885","WHARTON","NJ",40.89,-74.58,"NA-US-NJ-WHARTON"
"07981","WHIPPANY","NJ",40.82,-74.41,"NA-US-NJ-WHIPPANY"
"07999","WHIPPANY","NJ",40.82,-74.41,"NA-US-NJ-WHIPPANY"
"08888","WHITEHOUSE","NJ",40.62,-74.76,"NA-US-NJ-WHITEHOUSE"
"08889","WHITEHOUSE STATION","NJ",40.6,-74.76,"NA-US-NJ-WHITEHOUSE STATION"
"07095","WOODBRIDGE","NJ",40.55,-74.28,"NA-US-NJ-WOODBRIDGE"
"07481","WYCKOFF","NJ",40.99,-74.16,"NA-US-NJ-WYCKOFF"
"10451","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10452","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10453","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10454","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10455","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10456","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10457","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10458","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10459","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10460","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10461","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10462","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10463","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10464","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10465","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10466","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10467","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10468","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10469","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10470","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10471","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10472","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10473","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10474","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
"10475","BRONX","NY",40.84,-73.87,"NA-US-NY-BRONX"
